FirmTicker,EngFirmTicker
زگلدشت,GDSZ
وملت,MIVP
بهپاك,BHPP
گدنا,DCAZ
پسهند,SHND
سيتا,SITA
وسخراج,OS09
انتخاب,EELZ
ناما,NAMZ
سمايه,IBKZ
پرشيا,PERS
شگامرن,PSGS
سصفها,SEFH
توربو,OTCZ
كابگن,ABGP
قاروم,GHUP
نبروج,BRTP
نكالا,NKLA
دسبحان,DSOZ
تملت,TMLT
وسكاب,SKBV
كهرام,BHSM
دماوند,BDMP
وسمازن,OS26
ولملت,VLMT
وسپهر,SAIZ
وپسا,PGIZ
دسينا,DSIN
وپسا,PGIP
شپاكسا,PAKS
شپترو,PABD
وبيمه,BIME
وسصفا,OS04
سرود,SROD
وملل,ASKP
كورزي,IKVP
زنجان,ZNJP
چدن,CHDN
چكاپا,JPRZ
داسوه,DOSE
مديريت,ISMZ
پخش,PKSH
بهپاك,BHPZ
خريخت,RIIR
وسگلستا,OS23
وحكمت,HSIP
منارا,INAS
فسازان,FSAZ
ولراز,RAZP
ثقزوي,QAZP
تجلي,TMMZ
زنگان,ZAGP
كايتا,ITAL
سصوفي,SSOF
زاگرس,PZGZ
درهآور,RAPZ
كقزوي,SHQZ
حسير,RSKZ
وآذر,TAZB
ملت,BMEL
وپاسار,BPRZ
وبشهر,TSBE
شنفت,NPRS
سنير,SSNR
غگلپا,PGPZ
ومهرعمده,EGOZ
قهكمت,GHEG
پلاست,PLST
شپديس,PRDZ
سيلام,SEIL
شصفها,PESF
ثبهساز,BEKA
فولاي,FAYZ
وآفر,VAFZ
وآداك,AIBP
شلوان,SLVN
زملارد,MAHZ
خلنت,LENT
دتهران‌,THDP
پرديس,AYEG
ديزباد,DIMZ
قزوين,GGAZ
شساخت,OECP
دهدشت,PDHP
سكرما,SKER
سفارس,SFKZ
ثعمرا,OSHZ
تمحركه,MNMH
ماديرا,IOMZ
سكارون,KACP
ساروم,SURO
خكاشا,KHKP
حسينا,SMBZ
برانس,REYZ
خاور,IKDP
انرژي2,BENB
حپترو,HJPT
وسيستا,OS15
كخاك,KCHI
غفارس,GFRZ
لطيف,LPCZ
بميلا,MILP
درازي,PSRZ
پخش اول,GOLP
فبستم,BMAS
شفارا,FAPP
ثالوند,SLVZ
كازرو,PKZP
وسمحال,OS08
شاملا,AMLH
وخاور,BKHP
غبهنوش,BENN
وآتوس,ATSP
واحيا,VHYP
خمهر,MHKM
لپويا,IRPO
وتوسم,TMEL
آ س پ,ASPZ
ثاخت,BSTE
خنصير,MNSR
آينده,BHEP
ثغرب,CGRZ
فمراد,ALMR
كچاد,CHML
وبهمن,SBAH
شكف,KAFF
دتوليد,DTDZ
كالا4,BK4P
وزمين,ZMNZ
كلر,CHPZ
دفرا,FTIR
شصفها,PESP
قشير,GBJN
غپينو,MINO
ثاميد,TOOM
اميد,OMID
آبادا,NBAP
آلومينا,ALMN
خراسان,PSKZ
ثرود,ZNDZ
نوري,NORI
ومپنا,MPGZ
خكمك,INDM
نخوي,NKHP
تايرا,TRIR
خبازرس,IEIP
وهامون,HAIZ
فالوم,ALTP
كفپارس,NSPS
وسمركز,OS27
بتك,KTAK
وآفري,KARP
وزمين,ZMNP
مدار,MDAR
دكيمي,KIMI
سجام,SASP
شنيك,NKSP
ورفاه,RKBP
شرازي,RACZ
فوكا,FVAN
اميران,AIGZ
شصدف,SDFZ
كنور,KNRZ
بنيرو,NIRO
غشهد,SHAD
كسرام,PSER
سفاسيت,SFAS
فاراك,MARK
ثتران,PMTZ
وليز,LZIN
فسديد,LSDP
فخالص,KSZZ
سغدير,GHIZ
حآفرين,RPAZ
شغدير,PGHZ
لكما,KMOA
شغدير,PGDR
غيوان,KIVN
بموتو,MOTJ
وپست,BPST
ثاژن,SAJN
درازك,DRZK
استقلال,ESLP
حتوكا,HTOK
كوثر,BKSZ
تفارس,PGOP
غگل,GCOZ
تپولا,TPOP
وسهمدا,OS29
بكام,KGND
فافق,OKCZ
تمحركه,NMTP
وآوا,ANIZ
غدام,KDPS
تاپيكو,PTAP
خيمن,IKSZ
شبهرن,NBEH
فجوش,JSHO
كروي,ROOI
اخابر,MKBT
ختراك,RTIR
كپرور,TBSZ
نتوس,PTOP
خودكفا,KHDP
خفولا,KHEP
ولغدر,LKGH
بوعلي,BUAZ
وسالت,SALP
خصدرا,SDRP
پكرمان,BARZ
جوين,JAIP
وسپه,SPAH
تاصيكو,SADR
لبهمن,TBHM
دكوثر,DKSR
كتوسعه,KOMZ
پارسان,PASN
قچار,CHRZ
سكارون,SKRN
قطران,CTRZ
كفرا,NASI
مرقام,IAGM
وامين,ATAP
بايكا,KBLP
چافست,OFST
شستا,TAMN
ميدكو,KHMZ
پدرخش,DRKH
كترام,TKSM
غويتا,VITP
وآرين,ARNP
چكاوه,KSKA
ركيش,KISP
غالبر,KLBR
ومسكن,MASZ
غدشت,DMOR
وملل,ASKZ
وسنا,SNAP
قستان,GGOH
وپويا,PIVZ
سباقر,CBBP
كساوه,SINA
سينا,FSIN
خصدرا,SDRA
زدشت,DKHZ
وهور,HORZ
سفيد,SWCZ
فارس,PKLJ
فلامي,LAMI
ونيكي,NIKI
تنوين,TNOV
ساوه,SAVE
ساروج,SRBZ
وساخت,SAKH
اشراق,KSEP
كهرام,BEGP
خزاميا,ZMYD
وغدير,GDIR
شليا,LIAZ
دتهران,THDR
زشگزا,ZMMZ
پي پاد,PYPD
بكرما,BKRP
ميهن,MIHZ
زشريف,SAAZ
بايكا,KBLI
شسم,TSAL
همراه,HMRZ
خبهمن,BHMN
باران,BLIP
سشرق,SSHR
سدشت,SDST
جم پيلن,JPPC
تهدشت,TPDP
وفتخار,EFSP
كايگچ,IRGP
سدور,SDOR
داراب,PDRP
شكربن,CRBN
وتعاون,TVNP
اتكام,ETKA
چوكما,MWOZ
سپرمي,PRMP
كيميا,KZGZ
مبين,MOBN
ركيش,RKSH
خفنر,KFAN
فغدير,GIRZ
قجام,GTOP
شمواد,MFMP
حخزر,KHZZ
كزغال,TPCZ
وبصادر,BSDR
